source_file,line,syntax,link_kind,link_text_or_alt,raw_target,decoded_target,target_without_anchor,anchor,normalized_target,source_kind,target_kind,target_exists,target_is_asset,link_text_has_chinese,target_has_chinese,target_decoded_has_chinese,target_asset_name_has_chinese,needs_update_if_renamed
notes/Git.md,7,markdown_inline,link,分支实现,#分支实现,#分支实现,,分支实现,notes/Git.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/Git.md,8,markdown_inline,link,冲突,#冲突,#冲突,,冲突,notes/Git.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/Git.md,9,markdown_inline,link,Fast forward,#fast-forward,#fast-forward,,fast-forward,notes/Git.md,relative,anchor,yes,no,no,no,no,no,no
notes/Git.md,10,markdown_inline,link,储藏（Stashing）,#储藏stashing,#储藏stashing,,储藏stashing,notes/Git.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/Git.md,11,markdown_inline,link,SSH 传输设置,#ssh-传输设置,#ssh-传输设置,,ssh-传输设置,notes/Git.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/Git.md,12,markdown_inline,link,.gitignore 文件,#gitignore-文件,#gitignore-文件,,gitignore-文件,notes/Git.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/Git.md,13,markdown_inline,link,Git 命令一览,#git-命令一览,#git-命令一览,,git-命令一览,notes/Git.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/Git.md,14,markdown_inline,link,参考资料,#参考资料,#参考资料,,参考资料,notes/Git.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,3,markdown_inline,link,HTTP,#http,#http,,http,notes/HTTP.md,relative,anchor,yes,no,no,no,no,no,no
notes/HTTP.md,4,markdown_inline,link,一 、基础概念,#一-基础概念,#一-基础概念,,一-基础概念,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,5,markdown_inline,link,请求和响应报文,#请求和响应报文,#请求和响应报文,,请求和响应报文,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,6,markdown_inline,link,URL,#url,#url,,url,notes/HTTP.md,relative,anchor,yes,no,no,no,no,no,no
notes/HTTP.md,7,markdown_inline,link,二、HTTP 方法,#二http-方法,#二http-方法,,二http-方法,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,8,markdown_inline,link,GET,#get,#get,,get,notes/HTTP.md,relative,anchor,yes,no,no,no,no,no,no
notes/HTTP.md,9,markdown_inline,link,HEAD,#head,#head,,head,notes/HTTP.md,relative,anchor,yes,no,no,no,no,no,no
notes/HTTP.md,10,markdown_inline,link,POST,#post,#post,,post,notes/HTTP.md,relative,anchor,yes,no,no,no,no,no,no
notes/HTTP.md,11,markdown_inline,link,PUT,#put,#put,,put,notes/HTTP.md,relative,anchor,yes,no,no,no,no,no,no
notes/HTTP.md,12,markdown_inline,link,PATCH,#patch,#patch,,patch,notes/HTTP.md,relative,anchor,yes,no,no,no,no,no,no
notes/HTTP.md,13,markdown_inline,link,DELETE,#delete,#delete,,delete,notes/HTTP.md,relative,anchor,yes,no,no,no,no,no,no
notes/HTTP.md,14,markdown_inline,link,OPTIONS,#options,#options,,options,notes/HTTP.md,relative,anchor,yes,no,no,no,no,no,no
notes/HTTP.md,15,markdown_inline,link,CONNECT,#connect,#connect,,connect,notes/HTTP.md,relative,anchor,yes,no,no,no,no,no,no
notes/HTTP.md,16,markdown_inline,link,TRACE,#trace,#trace,,trace,notes/HTTP.md,relative,anchor,yes,no,no,no,no,no,no
notes/HTTP.md,17,markdown_inline,link,三、HTTP 状态码,#三http-状态码,#三http-状态码,,三http-状态码,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,18,markdown_inline,link,1XX 信息,#1xx-信息,#1xx-信息,,1xx-信息,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,19,markdown_inline,link,2XX 成功,#2xx-成功,#2xx-成功,,2xx-成功,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,20,markdown_inline,link,3XX 重定向,#3xx-重定向,#3xx-重定向,,3xx-重定向,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,21,markdown_inline,link,4XX 客户端错误,#4xx-客户端错误,#4xx-客户端错误,,4xx-客户端错误,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,22,markdown_inline,link,5XX 服务器错误,#5xx-服务器错误,#5xx-服务器错误,,5xx-服务器错误,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,23,markdown_inline,link,四、HTTP 首部,#四http-首部,#四http-首部,,四http-首部,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,24,markdown_inline,link,通用首部字段,#通用首部字段,#通用首部字段,,通用首部字段,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,25,markdown_inline,link,请求首部字段,#请求首部字段,#请求首部字段,,请求首部字段,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,26,markdown_inline,link,响应首部字段,#响应首部字段,#响应首部字段,,响应首部字段,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,27,markdown_inline,link,实体首部字段,#实体首部字段,#实体首部字段,,实体首部字段,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,28,markdown_inline,link,五、具体应用,#五具体应用,#五具体应用,,五具体应用,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,29,markdown_inline,link,连接管理,#连接管理,#连接管理,,连接管理,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,30,markdown_inline,link,Cookie,#cookie,#cookie,,cookie,notes/HTTP.md,relative,anchor,yes,no,no,no,no,no,no
notes/HTTP.md,31,markdown_inline,link,缓存,#缓存,#缓存,,缓存,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,32,markdown_inline,link,内容协商,#内容协商,#内容协商,,内容协商,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,33,markdown_inline,link,内容编码,#内容编码,#内容编码,,内容编码,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,34,markdown_inline,link,范围请求,#范围请求,#范围请求,,范围请求,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,35,markdown_inline,link,分块传输编码,#分块传输编码,#分块传输编码,,分块传输编码,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,36,markdown_inline,link,多部分对象集合,#多部分对象集合,#多部分对象集合,,多部分对象集合,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,37,markdown_inline,link,虚拟主机,#虚拟主机,#虚拟主机,,虚拟主机,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,38,markdown_inline,link,通信数据转发,#通信数据转发,#通信数据转发,,通信数据转发,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,39,markdown_inline,link,六、HTTPS,#六https,#六https,,六https,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,40,markdown_inline,link,加密,#加密,#加密,,加密,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,41,markdown_inline,link,认证,#认证,#认证,,认证,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,42,markdown_inline,link,完整性保护,#完整性保护,#完整性保护,,完整性保护,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,43,markdown_inline,link,HTTPS 的缺点,#https-的缺点,#https-的缺点,,https-的缺点,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,44,markdown_inline,link,七、HTTP/2.0,#七http20,#七http20,,七http20,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,45,markdown_inline,link,HTTP/1.x 缺陷,#http1x-缺陷,#http1x-缺陷,,http1x-缺陷,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,46,markdown_inline,link,二进制分帧层,#二进制分帧层,#二进制分帧层,,二进制分帧层,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,47,markdown_inline,link,服务端推送,#服务端推送,#服务端推送,,服务端推送,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,48,markdown_inline,link,首部压缩,#首部压缩,#首部压缩,,首部压缩,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,49,markdown_inline,link,八、HTTP/1.1 新特性,#八http11-新特性,#八http11-新特性,,八http11-新特性,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,50,markdown_inline,link,九、GET 和 POST 比较,#九get-和-post-比较,#九get-和-post-比较,,九get-和-post-比较,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,51,markdown_inline,link,作用,#作用,#作用,,作用,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,52,markdown_inline,link,参数,#参数,#参数,,参数,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,53,markdown_inline,link,安全,#安全,#安全,,安全,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,54,markdown_inline,link,幂等性,#幂等性,#幂等性,,幂等性,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,55,markdown_inline,link,可缓存,#可缓存,#可缓存,,可缓存,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/HTTP.md,56,markdown_inline,link,XMLHttpRequest,#xmlhttprequest,#xmlhttprequest,,xmlhttprequest,notes/HTTP.md,relative,anchor,yes,no,no,no,no,no,no
notes/HTTP.md,57,markdown_inline,link,参考资料,#参考资料,#参考资料,,参考资料,notes/HTTP.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/Java IO.md,3,markdown_inline,link,Java IO,#java-io,#java-io,,java-io,notes/Java IO.md,relative,anchor,yes,no,no,no,no,no,no
notes/Java IO.md,4,markdown_inline,link,一、概览,#一概览,#一概览,,一概览,notes/Java IO.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/Java IO.md,5,markdown_inline,link,二、磁盘操作,#二磁盘操作,#二磁盘操作,,二磁盘操作,notes/Java IO.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/Java IO.md,6,markdown_inline,link,三、字节操作,#三字节操作,#三字节操作,,三字节操作,notes/Java IO.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/Java IO.md,7,markdown_inline,link,实现文件复制,#实现文件复制,#实现文件复制,,实现文件复制,notes/Java IO.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/Java IO.md,8,markdown_inline,link,装饰者模式,#装饰者模式,#装饰者模式,,装饰者模式,notes/Java IO.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/Java IO.md,9,markdown_inline,link,四、字符操作,#四字符操作,#四字符操作,,四字符操作,notes/Java IO.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/Java IO.md,10,markdown_inline,link,编码与解码,#编码与解码,#编码与解码,,编码与解码,notes/Java IO.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/Java IO.md,11,markdown_inline,link,String 的编码方式,#string-的编码方式,#string-的编码方式,,string-的编码方式,notes/Java IO.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/Java IO.md,12,markdown_inline,link,Reader 与 Writer,#reader-与-writer,#reader-与-writer,,reader-与-writer,notes/Java IO.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/Java IO.md,13,markdown_inline,link,实现逐行输出文本文件的内容,#实现逐行输出文本文件的内容,#实现逐行输出文本文件的内容,,实现逐行输出文本文件的内容,notes/Java IO.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/Java IO.md,14,markdown_inline,link,五、对象操作,#五对象操作,#五对象操作,,五对象操作,notes/Java IO.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/Java IO.md,15,markdown_inline,link,序列化,#序列化,#序列化,,序列化,notes/Java IO.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/Java IO.md,16,markdown_inline,link,Serializable,#serializable,#serializable,,serializable,notes/Java IO.md,relative,anchor,yes,no,no,no,no,no,no
notes/Java IO.md,17,markdown_inline,link,transient,#transient,#transient,,transient,notes/Java IO.md,relative,anchor,yes,no,no,no,no,no,no
notes/Java IO.md,18,markdown_inline,link,六、网络操作,#六网络操作,#六网络操作,,六网络操作,notes/Java IO.md,relative,anchor,yes,no,yes,yes,yes,no,yes
notes/Java IO.md,19,markdown_inline,link,InetAddress,#inetaddress,#inetaddress,,inetaddress,notes/Java IO.md,relative,anchor,yes,no,no,no,no,no,no
notes/Java IO.md,20,markdown_inline,link,URL,#url,#url,,url,notes/Java IO.md,relative,anchor,yes,no,no,no,no,no,no
notes/Java IO.md,21,markdown_inline,link,Sockets,#sockets,#sockets,,sockets,notes/Java IO.md,relative,anchor,yes,no,no,no,no,no,no
notes/Java IO.md,22,markdown_inline,link,Datagram,#datagram,#datagram,,datagram,notes/Java IO.md,relative,anchor,yes,no,no,no,no,no,no
